date,price,open,high,low
2023-06-09,36.9250,36.7450,36.9366,36.7450
2023-06-08,36.9100,36.9272,36.9366,36.7450
2023-06-07,36.8550,36.7450,36.9366,36.7450
2023-06-06,36.9290,36.7450,36.9345,36.7450
2023-06-05,36.9100,36.9221,36.9342,36.7450
2023-06-02,36.9290,36.7514,36.9366,36.7450
2023-06-01,36.9342,36.7450,36.9342,36.7450
2023-05-31,36.8950,36.7450,36.9366,36.7450
2023-05-30,36.9290,36.9315,36.9365,36.7450
2023-05-29,36.5686,36.7450,36.9342,36.7450
2023-05-26,36.9200,36.7514,36.9342,36.7450
2023-05-25,36.9341,36.7450,36.9342,36.7450
2023-05-24,36.9320,36.7450,36.9342,36.7450
2023-05-23,36.5600,36.9315,36.9366,36.7450
2023-05-22,36.9300,36.9272,36.9342,36.7450
2023-05-19,36.9290,36.9315,36.9342,36.7450
2023-05-18,36.9320,36.9315,36.9342,36.7450
2023-05-17,36.9300,36.9221,36.9366,36.7450
2023-05-16,36.9300,36.7450,36.9342,36.7450
2023-05-15,36.9000,36.9221,36.9342,36.7450
2023-05-12,36.9300,36.7450,36.9342,36.7450
2023-05-11,36.8410,36.9221,36.9342,36.7450
2023-05-10,36.5600,36.7450,36.9272,36.7450
2023-05-09,36.9260,36.9221,36.9365,36.7450
2023-05-08,36.9300,36.9221,36.9342,36.7450
2023-05-05,36.9150,36.9221,36.9345,36.7450
2023-05-04,36.8950,36.9221,36.9355,36.7450
2023-05-03,36.9340,36.7450,36.9342,36.7450
2023-05-02,36.9290,36.9221,36.9342,36.7450
2023-05-01,36.9300,36.9171,36.9366,36.7450
2023-04-28,36.9000,36.9315,36.9365,36.7325
2023-04-27,36.9300,36.9221,36.9342,36.7450
2023-04-26,36.9300,36.9315,36.9342,36.7450
2023-04-25,36.9300,36.7450,36.9342,36.7450
2023-04-24,36.9300,36.7450,36.9342,36.7450
2023-04-21,36.9300,36.7450,36.9365,36.7450
2023-04-20,36.9000,36.9322,36.9339,36.7450
2023-04-19,36.9300,36.9171,36.9345,36.7450
2023-04-18,36.9300,36.9171,36.9322,36.7450
2023-04-17,36.5686,36.9221,36.9316,36.7450
2023-04-14,36.9300,36.7450,36.9322,36.7450
2023-04-13,36.9300,36.9221,36.9332,36.7450
2023-04-12,36.8410,36.7450,36.9365,36.7250
2023-04-11,36.8450,36.9272,36.9365,36.7400
2023-04-10,36.9300,36.7450,36.9322,36.7250
2023-04-07,36.8500,36.9150,36.9200,36.6200
2023-04-06,36.8500,36.7514,36.9272,36.6825
2023-04-05,36.8310,36.7450,36.9345,36.7450
2023-04-04,36.5686,36.7450,36.9322,36.7450
2023-04-03,36.5686,36.7450,36.9322,36.7450
2023-03-31,36.9100,36.9221,36.9322,36.7450
2023-03-30,36.9300,36.7450,36.9322,36.7450
2023-03-29,36.9250,36.9315,36.9345,36.7450
2023-03-28,36.8310,36.7450,36.9345,36.7450
2023-03-27,36.9290,36.9315,36.9345,36.7450
2023-03-24,36.9200,36.7450,36.9357,36.7450
2023-03-23,36.9250,36.9315,36.9316,36.7450
2023-03-22,36.9200,36.9296,36.9322,36.7450
2023-03-21,36.9200,36.9315,36.9357,36.7450
2023-03-20,36.9300,36.7514,36.9342,36.7450
2023-03-17,36.9300,36.9315,36.9322,36.7450
2023-03-16,36.9340,36.7450,36.9365,36.7450
2023-03-15,36.5686,36.9315,36.9316,36.7450
2023-03-14,36.8110,36.9315,36.9340,36.7450
2023-03-13,36.8310,36.7450,36.9316,36.7450
2023-03-10,36.9290,36.9315,36.9316,36.7450
2023-03-09,36.8950,36.7450,36.9322,36.7450
2023-03-08,36.9290,36.9315,36.9340,36.7450
2023-03-07,36.9200,36.7450,36.9340,36.7450
2023-03-06,36.9070,36.9315,36.9340,36.7270
2023-03-03,36.9290,36.9315,36.9316,36.7450
2023-03-02,36.8410,36.7450,36.9345,36.7450
2023-03-01,36.9290,36.9315,36.9340,36.7450
2023-02-28,36.9290,36.7450,36.9340,36.7450
2023-02-27,36.5686,36.9315,36.9340,36.7450
2023-02-24,36.5686,36.9315,36.9322,36.7450
2023-02-23,36.5686,36.7450,36.7514,36.7450
2023-02-22,36.5686,36.9315,36.9322,36.7450
2023-02-21,36.5686,36.7450,36.9316,36.7450
2023-02-20,36.8950,36.9315,36.9340,36.7450
2023-02-17,36.5600,36.7514,36.7514,36.7450
2023-02-16,36.9290,36.7450,36.9322,36.7450
2023-02-15,36.9250,36.9315,36.9316,36.7450
2023-02-14,36.5600,36.9315,36.9316,36.7450
2023-02-13,36.9150,36.7450,36.9365,36.7450
2023-02-10,36.5600,36.7514,36.9316,36.7450
2023-02-09,36.9300,36.7450,36.9322,36.7450
2023-02-08,36.5686,36.9315,36.9316,36.7450
2023-02-07,36.5686,36.9315,36.9322,36.7450
2023-02-06,36.5686,36.9315,36.9316,36.7450
2023-02-03,36.9340,36.7450,36.9342,36.7450
2023-02-02,36.5686,36.7450,36.9322,36.7450
2023-02-01,36.9325,36.9315,36.9334,36.7450
2023-01-31,36.9290,36.9315,36.9316,36.7450
2023-01-30,36.5600,36.7450,36.7450,36.7450
2023-01-27,36.9340,36.9315,36.9345,36.7450
2023-01-26,36.9000,36.7450,36.9345,36.7450
2023-01-25,36.5686,36.9171,36.9171,36.7450
2023-01-24,36.9000,36.9315,36.9316,36.7450
2023-01-23,36.9250,36.9170,36.9316,36.7450
2023-01-20,36.9000,36.9315,36.9316,36.7450
2023-01-19,36.9000,36.7450,36.9316,36.7450
2023-01-18,36.5686,36.7450,36.7514,36.7450
2023-01-17,36.5686,36.7450,36.7514,36.7450
2023-01-16,36.5600,36.7450,36.7522,36.7450
2023-01-13,36.5600,36.7514,36.7514,36.7450
2023-01-12,36.5686,36.7450,36.7514,36.7450
2023-01-11,36.5686,36.7450,36.7514,36.7450
2023-01-10,36.5686,36.7450,36.7514,36.7450
2023-01-09,36.5686,36.7522,36.9347,36.7450
2023-01-06,36.5600,36.7522,36.7522,36.7450
2023-01-05,36.5686,36.7450,36.7514,36.7450
2023-01-04,36.5686,36.7450,36.7522,36.7450
2023-01-03,36.5686,36.7450,36.9171,36.7450
2023-01-02,36.9000,36.9170,36.9171,36.7450
